type,mean_1,stddev_1,mean_2,stddev_2,results,time,age,gender,smoker,background,date,condition,experiment,ID
Experiment,-0.2,0.02,-0.2,0.1,3,8.833,,,,,,T1,,1
Experiment,-0.3,0.02,-0.3,0.1,4,8.69,,,,,,T1,,1
Control,0.2,0.1,-0.3,0.1,3,7.675,,,,,,T1,,1
Experiment,0.1,0.02,0.1,0.1,3,10.592,,,,,,T1,,1
Experiment,0.0,0.45,0.0,0.1,3,8.579,,,,,,T1,,1
Experiment,0.0,0.02,0.0,0.1,4,10.009,,,,,,T1,,1
Experiment,0.3,0.45,0.3,0.1,3,9.171,,,,,,T1,,1
Experiment,0.3,0.02,0.3,0.1,4,8.954,,,,,,T1,,1
Control,0.2,0.1,-0.3,0.1,3,9.307,,,,,,T1,,1
Experiment,0.1,0.45,0.1,0.1,3,9.132,,,,,,T1,,1
Control,0.2,0.1,-0.3,0.1,4,9.108,,,,,,T1,,1
Experiment,-0.1,0.45,-0.1,0.1,2,10.168,,,,,,T1,,1
Control,0.2,0.1,-0.3,0.1,3,7.643,,,,,,T1,,1
Experiment,0.0,0.02,0.0,0.1,4,8.025,,,,,,T1,,1
Experiment,-0.2,0.45,-0.2,0.1,2,8.678,,,,,,T1,,1
Experiment,0.2,0.45,0.2,0.1,3,8.843,,,,,,T1,,1
Experiment,0.0,0.45,0.0,0.1,3,8.338,,,,,,T1,,1
Experiment,0.2,0.02,0.2,0.1,4,9.331,,,,,,T1,,1
Diversion,0.2,0.1,0.2,0.45,5,5.818,,,,,,T1,,1
Experiment,-0.3,0.45,-0.3,0.1,2,8.653,,,,,,T1,,1
Experiment,-0.1,0.02,-0.1,0.1,4,7.44,,,,,,T1,,1
Experiment,-0.1,0.45,-0.1,0.1,2,6.968,,,,,,T1,,2
Experiment,0.1,0.02,0.1,0.1,3,7.665,,,,,,T1,,2
Experiment,0.2,0.02,0.2,0.1,4,12.171,,,,,,T1,,2
Control,-0.2,0.1,0.0,0.1,4,11.15,,,,,,T1,,2
Control,-0.2,0.1,0.0,0.1,5,14.394,,,,,,T1,,2
Experiment,0.2,0.45,0.2,0.1,3,11.304,,,,,,T1,,2
Experiment,-0.1,0.02,-0.1,0.1,4,11.783,,,,,,T1,,2
Experiment,0.0,0.02,0.0,0.1,3,6.98,,,,,,T1,,2
Experiment,-0.3,0.02,-0.3,0.1,3,8.857,,,,,,T1,,2
Experiment,0.0,0.45,0.0,0.1,3,10.576,,,,,,T1,,2
Diversion,-0.2,0.1,-0.2,0.45,5,7.763,,,,,,T1,,2
Experiment,-0.3,0.45,-0.3,0.1,3,5.172,,,,,,T1,,2
Experiment,0.0,0.45,0.0,0.1,2,4.887,,,,,,T1,,2
Experiment,-0.2,0.02,-0.2,0.1,3,7.241,,,,,,T1,,2
Experiment,0.0,0.02,0.0,0.1,3,7.695,,,,,,T1,,2
Experiment,0.1,0.45,0.1,0.1,2,9.412,,,,,,T1,,2
Control,-0.2,0.1,0.0,0.1,3,7.575,,,,,,T1,,2
Experiment,-0.2,0.45,-0.2,0.1,3,10.195,,,,,,T1,,2
Experiment,0.3,0.45,0.3,0.1,2,9.311,,,,,,T1,,2
Control,-0.2,0.1,0.0,0.1,3,7.572,,,,,,T1,,2
Experiment,0.3,0.02,0.3,0.1,4,10.114,,,,,,T1,,2
Control,0.3,0.1,0.1,0.1,4,2.357,,,,,,T1,,3
Experiment,-0.2,0.02,-0.2,0.1,4,3.479,,,,,,T1,,3
Experiment,-0.2,0.45,-0.2,0.1,3,3.042,,,,,,T1,,3
Control,0.3,0.1,0.1,0.1,5,7.968,,,,,,T1,,3
Control,0.3,0.1,0.1,0.1,4,6.86,,,,,,T1,,3
Experiment,0.0,0.45,0.0,0.1,4,5.329,,,,,,T1,,3
Experiment,0.0,0.02,0.0,0.1,4,7.795,,,,,,T1,,3
Experiment,0.1,0.45,0.1,0.1,5,11.879,,,,,,T1,,3
Experiment,-0.3,0.02,-0.3,0.1,5,10.957,,,,,,T1,,3
Experiment,0.1,0.02,0.1,0.1,5,5.321,,,,,,T1,,3
Experiment,0.3,0.45,0.3,0.1,4,6.803,,,,,,T1,,3
Experiment,0.0,0.02,0.0,0.1,5,3.483,,,,,,T1,,3
Experiment,0.0,0.45,0.0,0.1,3,8.523,,,,,,T1,,3
Experiment,-0.1,0.45,-0.1,0.1,4,5.738,,,,,,T1,,3
Diversion,0.3,0.1,0.3,0.45,5,2.38,,,,,,T1,,3
Experiment,0.3,0.02,0.3,0.1,4,7.325,,,,,,T1,,3
Experiment,-0.3,0.45,-0.3,0.1,4,6.978,,,,,,T1,,3
Experiment,0.2,0.02,0.2,0.1,5,6.082,,,,,,T1,,3
Control,0.3,0.1,0.1,0.1,4,10.203,,,,,,T1,,3
Experiment,0.2,0.45,0.2,0.1,4,9.327,,,,,,T1,,3
Experiment,-0.1,0.02,-0.1,0.1,4,6.231,,,,,,T1,,3
Experiment,-0.2,0.02,-0.2,0.1,4,4.077,,,,,,T1,,4
Control,0.2,0.1,0.3,0.1,4,4.469,,,,,,T1,,4
Experiment,0.0,0.02,0.0,0.1,5,4.065,,,,,,T1,,4
Experiment,0.0,0.45,0.0,0.1,3,3.764,,,,,,T1,,4
Experiment,0.1,0.02,0.1,0.1,4,3.986,,,,,,T1,,4
Experiment,0.0,0.02,0.0,0.1,4,3.496,,,,,,T1,,4
Experiment,-0.2,0.45,-0.2,0.1,3,3.373,,,,,,T1,,4
Control,0.2,0.1,0.3,0.1,3,3.111,,,,,,T1,,4
Experiment,-0.3,0.02,-0.3,0.1,4,3.465,,,,,,T1,,4
Control,0.2,0.1,0.3,0.1,3,3.317,,,,,,T1,,4
Experiment,0.0,0.45,0.0,0.1,2,2.973,,,,,,T1,,4
Experiment,0.1,0.45,0.1,0.1,3,3.744,,,,,,T1,,4
Experiment,0.3,0.45,0.3,0.1,3,2.89,,,,,,T1,,4
Experiment,-0.1,0.02,-0.1,0.1,4,3.4,,,,,,T1,,4
Experiment,-0.1,0.45,-0.1,0.1,3,4.053,,,,,,T1,,4
