type,mean_1,stddev_1,mean_2,stddev_2,results,time,age,gender,smoker,background,date,condition,ID
Experimental,8,3.0,9,1.0,5,3.288,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Control,7,0.4,9,0.4,1,5.187,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,7,0.4,9,1.0,5,9.107,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,8,0.4,8,1.0,4,6.344,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Diversion,7,1.0,7,3.0,5,3.797,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Control,9,3.0,7,3.0,5,5.823,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,8,3.0,7,1.0,2,6.214,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,8,0.4,9,1.0,2,7.549,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,9,0.4,8,1.0,2,9.96,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Control,8,1.0,8,1.0,2,8.664,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,7,0.4,7,1.0,2,7.854,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,9,3.0,9,1.0,2,6.645,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,8,3.0,8,1.0,3,6.856,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,9,0.4,7,1.0,2,6.631,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,8,0.4,7,1.0,3,6.499,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Control,9,1.0,7,1.0,2,4.939,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Control,8,1.0,8,1.0,2,8.115,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,9,3.0,7,1.0,3,5.959,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,7,0.4,8,1.0,2,6.006,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,9,0.4,9,1.0,2,6.84,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,7,3.0,7,1.0,2,8.556,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,7,3.0,9,1.0,3,5.936,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Control,7,1.0,9,1.0,3,8.601,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,9,3.0,8,1.0,2,6.288,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Experimental,7,3.0,8,1.0,3,7.487,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Control,8,1.0,7,1.0,2,8.477,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Diversion,7,1.0,7,3.0,4,7.764,19,gender_male,smoker_no,Undergraduate (High School Graduate),2014-11-07,S1,1
Diversion,7,1.0,7,3.0,1,4.002,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,8,0.4,8,1.0,2,4.559,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,8,0.4,7,1.0,4,8.473,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Control,8,1.0,8,1.0,4,6.172,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,7,3.0,8,1.0,1,5.71,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,9,3.0,7,1.0,2,4.569,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Control,7,1.0,8,1.0,4,7.783,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Control,9,1.0,7,1.0,3,8.469,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,8,3.0,7,1.0,4,6.016,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Control,9,1.0,8,1.0,4,7.288,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,9,3.0,8,1.0,2,8.0,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Control,9,0.4,9,0.4,1,6.221,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,7,0.4,9,1.0,2,9.703,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,8,0.4,9,1.0,3,9.111,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Diversion,8,1.0,8,3.0,5,5.744,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,9,0.4,7,1.0,2,11.397,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,9,0.4,8,1.0,3,10.058,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,7,0.4,7,1.0,3,11.634,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Control,9,3.0,7,3.0,4,8.136,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,9,3.0,9,1.0,2,10.609,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,8,3.0,8,1.0,2,8.301,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,7,0.4,8,1.0,2,11.885,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Control,9,1.0,8,1.0,3,13.717,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,8,3.0,9,1.0,2,8.544,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
Experimental,7,3.0,9,1.0,2,11.047,19,gender_male,smoker_no,Physiology,2014-11-07,S1,2
